product,vendor,category,price,ranking,skin_type,skin_type_code,skin_problem_code
blithe-patting-splash-mask-rejuvenating-purple-berry,Blithe,Toner,19.08,4.75,Normal,N,
blithe-pressed-serum-gold-apricot,Blithe,Moisturisers,34.95,5.0,Normal,N,
blithe-patting-splash-mask-energy-yellow-citrus-honey,Blithe,Toner,22.45,5.0,Normal,N,
blithe-vital-treatment-9-essential-seeds,Blithe,Essence,32.95,5.0,Normal,N,
blithe-pressed-serum-velvet-yam,Blithe,Moisturisers,34.95,5.0,Normal,N,
blithe-pressed-serum-crystal-iceplant,Blithe,Moisturisers,34.95,5.0,Normal,N,
blithe-inbetween-makeup-prep-essence,Blithe,Serum,24.95,0.0,Normal,N,
bonajour-green-tea-water-cream,bonajour,Moisturisers,20.42,5.0,Normal,N,
bonajour-active-ampoule-mask,bonajour,Face Mask,3.32,4.5,Normal,N,
bonajour-green-tea-water-toner,Bonajour,Toner,18.79,4.38,Normal,N,
bonajour-active-night-cream,bonajour,Moisturisers,19.58,2.0,Normal,N,
bonajour-extreme-cica-cream,bonajour,Moisturisers,34.24,4.5,Normal,N,
bonajour-rose-stem-cell-ampoule,bonajour,Serum,34.73,5.0,Normal,N,
bonajour-peptide-water-cream,bonajour,Moisturisers,21.45,5.0,Normal,N,
bonajour-green-tea-foam-cleansing,Bonajour,Cleanser,12.49,5.0,Normal,N,
bonajour-extreme-spot-serum,bonajour,Serum,32.44,4.67,Normal,N,
bonajour-green-multi-vitamin-vital-nutrition-serum,bonajour,Serum,30.45,3.33,Normal,N,
bonajour-mugwort-cream-calming-mask,bonajour,Face Mask,19.75,1.0,Normal,N,
bonajour-propolis-serum,bonajour,Serum,24.93,5.0,Normal,N,
bonajour-eggplant-bha-water-cream,bonajour,Moisturisers,22.45,0.0,Normal,N,
bonajour-green-multi-vitamin-vital-nutrition-cream,bonajour,Moisturisers,23.95,0.0,Normal,N,
bonajour-eggplant-daily-bha-toner,Bonajour,Toner,23.95,5.0,Normal,N,
bonajour-bio-active-resurrection-plant-essence-1,bonajour,Serum,35.45,5.0,Normal,N,
mandelic-acid-5-prep-water,By Wishtrend,Exfoliators,23.45,4.61,Normal,N,
by-wishtrend-green-tea-enzyme-powder-wash,By Wishtrend,Cleanser,28.95,4.64,Normal,N,
by-wishtrend-vitamin-a-mazing-bakuchiol-night-cream,By Wishtrend,Moisturisers,35.95,4.69,Normal,N,
by-wishtrend-natural-vitamin-21-5-enhancing-sheet-mask,By Wishtrend,Face Mask,2.88,4.83,Normal,N,
by-wishtrend-clear-skin-shield-patch,By Wishtrend,Face Mask,9.74,4.53,Normal,N,
by-wishtrend-pure-vitamin-c21-5-advanced-serum,By Wishtrend,Serum,30.32,4.55,Normal,N,
by-wishtrend-acid-duo-2-mild-gel-cleanser,By Wishtrend,Cleanser,20.95,5.0,Normal,N,
by-wishtrend-sulfur-3-clean-gel,By Wishtrend,Moisturisers,22.48,4.5,Normal,N,
by-wishtrend-vitamin-75-maximizing-cream,By Wishtrend,Moisturisers,27.38,5.0,Normal,N,
by-wishtrend-green-tea-enzyme-milky-foaming-wash,By Wishtrend,Cleanser,17.95,0.0,"Dry, Sensitive, Combination, Dry","D, C, D",S
by-wishtrend-acid-duo-hibiscus-63-cream,By Wishtrend,Moisturisers,22.95,0.0,Normal,N,
by-wishtrend-uv-defense-moist-cream-spf50-pa,By Wishtrend,Sunscreen,26.95,0.0,"Sensitive, Dry, Dry","D, D",S
by-wishtrend-blue-oasis-aloe-hydrating-serum,By Wishtrend,Serum,26.95,0.0,"Acne, Dry, Sensitive, Normal","D, N","A, S"
by-wishtrend-propolis-energy-boosting-essence,By Wishtrend,Essence,22.95,0.0,Normal,N,
celimax-the-real-noni-energy-ampoule,Celimax,Serum,19.51,4.74,Normal,N,
celimax-fresh-blackhead-jojoba-cleansing-oil,Celimax,Cleanser,19.54,4.58,Normal,N,
celimax-the-real-noni-energy-ampoule-mist,Celimax,Serum,16.59,4.9,Normal,N,
celimax-the-real-noni-refresh-clay-mask,Celimax,Face Mask,13.65,4.43,Normal,N,
celimax-the-real-noni-energy-repair-cream,Celimax,Moisturisers,23.45,4.88,Normal,N,
celimax-the-real-noni-moisture-balancing-toner,Celimax,Toner,21.45,4.29,Normal,N,
celimax-the-real-cica-calming-ampoule,Celimax,Serum,20.35,5.0,"Dry, Normal","D, N",
celimax-the-real-noni-hydra-firming-lotion,Celimax,Moisturisers,27.35,4.5,Normal,N,
cosrx-advanced-snail-96-mucin-power-essence,COSRX,Essence,17.58,4.68,Normal,N,
cosrx-aloe-soothing-sun-cream,COSRX,Sunscreen,11.52,4.68,Normal,N,
cosrx-low-ph-good-morning-gel-cleanser,COSRX,Cleanser,10.94,4.55,"Oily, Acne",O,A
cosrx-advanced-snail-92-all-in-one-cream,COSRX,Moisturisers,17.44,4.64,"Normal, Combination, Sensitive, Oily","N, C, O",S
cosrx-salicylic-acid-daily-gentle-cleanser,COSRX,Cleanser,12.19,4.6,"Combination, Oily, Acne","C, O",A
cosrx-bha-blackhead-power-liquid,COSRX,Exfoliators,20.52,4.51,"Combination, Oily","C, O",
cosrx-aha-bha-clarifying-treatment-toner,COSRX,Toner,16.12,4.52,"Combination, Oily, Acne","C, O",A
cosrx-full-fit-propolis-synergy-toner,COSRX,Toner,15.14,4.81,"Dry, Dehydrated",D,Deh
cosrx-clear-fit-master-patch,COSRX,Face Mask,4.35,4.56,"Oily, Acne",O,A
cosrx-ultimate-nourishing-rice-overnight-mask,COSRX,Face Mask,17.59,4.68,Normal,N,
cosrx-master-patch-intensive,COSRX,Face Mask,10.58,4.74,Normal,N,
centella-blemish-cream,COSRX,Moisturisers,18.07,4.43,Normal,N,
cosrx-aha-7-whitehead-power-liquid,COSRX,Exfoliators,15.66,4.53,Normal,N,
cosrx-hyaluronic-acid-intensive-cream,COSRX,Moisturisers,20.52,4.51,Normal,N,
cosrx-full-fit-propolis-light-ampoule-1,COSRX,Serum,21.01,4.62,Normal,N,
cosrx-the-vitamin-c-23-serum,COSRX,Serum,23.46,4.4,Normal,N,
cosrx-ac-collection-acne-patch,COSRX,Face Mask,5.82,4.63,Normal,N,
cosrx-propolis-light-cream,COSRX,Moisturisers,24.45,4.8,Normal,N,
cosrx-advanced-snail-radiance-dual-essence,COSRX,Serum,26.93,4.62,Normal,N,
cosrx-centella-water-alcohol-free-toner,COSRX,Toner,14.95,4.58,Normal,N,
cosrx-oil-free-ultra-moisturizing-lotion,COSRX,Moisturisers,24.95,4.64,Normal,N,
cosrx-hyaluronic-hydra-power-essence,COSRX,Essence,18.26,4.78,Normal,N,
refresh-aha-bha-vitaminc-daily-toner,COSRX,Toner,15.62,4.66,Normal,N,
cosrx-the-retinol-0-5-oil,COSRX,Serum,19.54,4.44,Normal,N,
cosrx-hydrium-moisture-power-enriched-cream,COSRX,Moisturisers,22.49,4.44,Normal,N,
cosrx-galactomyces-95-tone-balancing-essence,COSRX,Essence,19.54,4.57,Normal,N,
cosrx-hydrium-green-tea-aqua-soothing-gel-cream,COSRX,Moisturisers,22.95,4.5,Normal,N,
cosrx-advanced-snail-mucin-power-gel-cleanser,COSRX,Cleanser,16.6,4.29,Normal,N,
cosrx-poreless-clarifying-charcoal-mask,COSRX,Face Mask,17.58,4.77,Normal,N,
cosrx-low-ph-good-night-soft-peeling-gel,COSRX,Exfoliators,16.6,4.47,Normal,N,
cosrx-hydrium-triple-hyaluronic-moisture-ampoule,COSRX,Moisturisers,21.45,4.76,Normal,N,
cosrx-the-vitamin-c-13-serum,COSRX,Serum,19.54,4.4,Normal,N,
cosrx-the-retinol-0-1-cream,COSRX,Moisturisers,24.44,5.0,Normal,N,
copy-of-the-niacinamide-15-serum,COSRX,Serum,23.07,5.0,Normal,N,
cosrx-one-step-original-clear-pad,COSRX,Exfoliators,20.52,4.79,Normal,N,
cosrx-full-fit-propolis-honey-overnight-mask,COSRX,Face Mask,21.51,4.3,Normal,N,
cosrx-two-in-one-poreless-power-liquid,COSRX,Toner,23.4,3.89,Normal,N,
cosrx-hydrium-triple-hyaluronic-moisture-cleanser,COSRX,Cleanser,12.95,4.42,Normal,N,
cosrx-refresh-aha-bha-vitamin-c-daily-cream,COSRX,Moisturisers,18.56,4.27,Normal,N,
cosrx-the-hyaluronic-acid-3-serum,COSRX,Serum,23.07,4.94,Normal,N,
cosrx-master-patch-basic,COSRX,Face Mask,23.46,4.33,Normal,N,
cosrx-the-6-peptide-skin-booster-serum,COSRX,Serum,21.98,5.0,"Dry, Normal","D, N",
cosrx-hydrium-watery-toner,COSRX,Toner,14.64,4.9,Normal,N,
cosrx-hydrium-centella-aqua-soothing-ampoule,COSRX,Serum,22.03,4.11,Normal,N,
coxir-hyaluronic-cleansing-oil,Coxir,Cleanser,15.95,4.64,Normal,N,
coxir-black-snail-collagen-cream,Coxir,Moisturisers,16.95,4.38,Normal,N,
coxir-vita-c-bright-serum,Coxir,Serum,15.95,4.56,Normal,N,
coxir-intensive-egf-peptide-serum,Coxir,Serum,16.95,4.56,Normal,N,
coxir-intensive-egf-peptide-cream,Coxir,Moisturisers,16.95,4.68,Normal,N,
coxir-vita-c-bright-cream,Coxir,Moisturisers,14.41,4.5,Normal,N,
coxir-ultra-hyaluronic-ampoule,Coxir,Serum,15.95,4.67,Normal,N,
coxir-black-snail-collagen-serum,Coxir,Serum,15.95,4.43,Normal,N,
coxir-intensive-egf-peptide-emulsion,Coxir,Moisturisers,15.95,5.0,Normal,N,
coxir-intensive-egf-peptide-cream-mask-pack,Coxir,Face Mask,15.95,4.92,Normal,N,
coxir-tea-tree-pore-sebum-emulsion,Coxir,Moisturisers,15.95,4.57,Normal,N,
coxir-black-snail-collagen-emulsion,Coxir,Moisturisers,15.95,4.92,Normal,N,
coxir-ultra-hyaluronic-toner,Coxir,Toner,16.95,4.67,Normal,N,
coxir-ultra-hyaluronic-cream,Coxir,Moisturisers,16.95,4.93,Normal,N,
coxir-ultra-hyaluronic-emulsion,Coxir,Moisturisers,15.95,4.5,Normal,N,
coxir-vita-c-bright-toner,Coxir,Toner,15.95,4.67,Normal,N,
coxir-greentea-ph-clear-cleanser,Coxir,Cleanser,13.95,0.0,Normal,N,
coxir-intensive-egf-peptide-toner,Coxir,Toner,16.95,4.67,Normal,N,
coxir-greentea-bha-clear-toner,Coxir,Toner,15.95,4.5,Normal,N,
coxir-tea-tree-pore-sebum-toner,Coxir,Toner,15.95,3.33,Normal,N,
coxir-greentea-bha-clear-emulsion,Coxir,Moisturisers,15.95,0.0,Normal,N,
coxir-ceramide-milk-drop-cream,Coxir,Moisturisers,16.95,3.0,Normal,N,
coxir-ultra-hyaluronic-gel-maskpack,Coxir,Moisturisers,15.95,5.0,Normal,N,
dalba-waterfull-essence-sun-cream-spf50-pa,d'Alba,Sunscreen,26.95,4.9,Normal,N,
dalba-peptide-no-sebum-mild-gel-cleanser,d'Alba,Cleanser,18.95,5.0,Normal,N,
dalba-white-truffle-intensive-ampoule,d'Alba,Serum,33.95,5.0,Normal,N,
dalba-peptide-no-sebum-balancing-toner,d'Alba,Toner,23.95,4.33,Normal,N,
dewytree-pick-quick-30-days-mask,Dewytree,Face Mask,22.96,5.0,Dry,D,
dewytree-hi-amino-all-cleanser,Dewytree,Cleanser,19.95,0.0,Dry,D,
dr-althea-345-relief-cream,Dr. Althea,Moisturisers,23.94,4.43,"Dry, Sensitive, Normal","D, N",S
dr-althea-oasis-soothing-mask,Dr. Althea,Face Mask,2.95,4.62,Normal,N,
dr-althea-herb-therapy-velvet-mask,Dr. Althea,Face Mask,2.51,5.0,Normal,N,
dr-althea-amino-acid-gentle-bubble-cleanser,Dr. Althea,Cleanser,14.45,4.5,Normal,N,
dr-althea-marine-anti-blemish-mask,Dr. Althea,Face Mask,2.95,5.0,Normal,N,
dr-althea-vitamin-c-boosting-serum,Dr. Althea,Serum,22.95,4.75,"Dry, Sensitive, Normal","D, N",S
dr-althea-pure-grinding-cleansing-balm,Dr. Althea,Cleanser,19.95,4.4,"Acne, Sensitive, Normal",N,"A, S"
dr-althea-natural-brightening-velvet-mask-1,Dr. Althea,Face Mask,2.95,5.0,Normal,N,
dr-althea-rapid-firm-sculpting-cream,Dr. Althea,Moisturisers,26.45,4.36,Normal,N,
dr-althea-essential-skin-conditioner-silk-mask,Dr. Althea,Face Mask,2.95,4.25,Normal,N,
dr-althea-147-barrier-cream,Dr. Althea,Moisturisers,23.45,5.0,"Dry, Dry","D, D",
dr-althea-water-glow-aqua-ampoule-mask,Dr. Althea,Face Mask,2.95,5.0,Normal,N,
dr-althea-natural-radiance-essence,Dr. Althea,Serum,14.64,4.5,Normal,N,
dr-althea-pore-control-charcoal-mask,Dr. Althea,Face Mask,2.95,5.0,Normal,N,
dr-althea-skin-relief-essence,Dr. Althea,Serum,14.64,0.0,Normal,N,
dr-althea-green-relief-amino-gel-cleanser,Dr. Althea,Cleanser,14.95,5.0,Normal,N,
dr-althea-anastatica-skin-conditioning-pad,Dr. Althea,Toner Pads,20.95,0.0,"Dry, Normal","D, N",
dr-althea-cica-skin-calming-toner,Dr. Althea,Toner,23.95,5.0,"Acne, Sensitive, Dry, Normal","D, N","A, S"
dr-althea-ultra-gentle-cleansing-water,Dr. Althea,Cleanser,20.95,5.0,Normal,N,
dr-althea-multi-action-infusion-serum,Dr. Althea,Serum,32.95,5.0,Normal,N,
dr-althea-multi-action-ultra-repair-serum,Dr. Althea,Serum,32.95,5.0,Normal,N,
dr-althea-anastatica-skin-conditioning-toner,Dr. Althea,Toner,22.95,0.0,"Acne, Sensitive, Dry, Normal","D, N","A, S"
dr-ceuracle-advent-calendar-2024-limited-edition,Dr.Ceuracle,Set,199.95,0.0,Normal,N,
dr-ceuracle-vegan-kombucha-tea-sleep-mask,Dr.Ceuracle,Moisturisers,29.95,0.0,Dry,D,
dr-ceuracle-vegan-active-berry-first-essence,Dr.Ceuracle,Essence,27.38,0.0,"Dry, Normal","D, N",
dr-ceuracle-vegan-active-berry-lifting-cream,Dr.Ceuracle,Moisturisers,27.38,5.0,"Dry, Normal","D, N",
dr-ceuracle-tea-tree-purifine-soothing-mask,Dr.Ceuracle,Face Mask,2.95,5.0,"Sensitive, Normal",N,S
dr-ceuracle-matcha-rice-wash-off-pack-duo,Dr.Ceuracle,Face Mask,39.95,4.0,Normal,N,
dr-ceuracle-pro-balance-comfort-sun-stick,Dr.Ceuracle,Sunscreen,22.95,0.0,"Sensitive, Dry",D,S
dr-ceuracle-pure-vc-mellight-ampoule,Dr.Ceuracle,Serum,19.95,5.0,"Acne, Dry, Normal","D, N",A
dr-ceuracle-pure-vc-mellight-ampoule-set,Dr.Ceuracle,Ampoules,49.95,5.0,"Sensitive, Acne, Normal",N,"S, A"
dr-ceuracle-pure-vc-mellight-boosting-essence,Dr.Ceuracle,Essence,24.95,5.0,"Dry, Acne, Normal","D, N",A
dr-ceuracle-royal-vita-propolis-anti-oxidant-mask,Dr.Ceuracle,Face Mask,2.85,4.62,"Sensitive, Normal",N,S
dr-ceuracle-hyal-reyouth-multi-cleansing-foaming-balm,Dr.Ceuracle,Cleanser,23.95,3.67,Normal,N,
dr-ceuracle-hyal-reyouth-moist-sun,Dr.Ceuracle,Sunscreen,19.54,4.67,"Normal, Sensitive",N,S
dr-ceuracle-hyal-reyouth-night-cream,Dr.Ceuracle,Moisturisers,28.36,4.56,Normal,N,
dr-ceuracle-hyal-reyouth-ampoule,Dr.Ceuracle,Serum,29.34,4.4,Normal,N,
dr-ceuracle-hyal-reyouth-toner,Dr.Ceuracle,Toner,23.75,5.0,Normal,N,
dr-ceuracle-pro-balance-biotics-cleansing-pad,Dr.Ceuracle,Exfoliators,25.95,4.33,Normal,N,
dr-ceuracle-tea-tree-purifine-green-up-sun,Dr.Ceuracle,Sunscreen,18.56,4.38,Normal,N,
dr-ceuracle-5a-control-no-sebum-sun-lotion-spf50-pa,Dr.Ceuracle,Sunscreen,23.45,3.83,Normal,N,
dr-ceuracle-5-alpha-control-clearing-toner,Dr.Ceuracle,Toner,23.45,5.0,Normal,N,
dr-ceuracle-5-alpha-control-clearing-cleansing-foam,Dr.Ceuracle,Cleanser,24.95,4.33,Normal,N,
dr-ceuracle-vegan-kombucha-tea-creamy-wash-bar,Dr.Ceuracle,Cleanser,18.95,4.86,Normal,N,
dr-ceuracle-ganghwa-rice-granule-pack,Dr.Ceuracle,Face Mask,21.5,4.5,Normal,N,
dr-ceuracle-vegan-kombucha-tea-gel-cream,Dr.Ceuracle,Moisturisers,24.93,4.65,Normal,N,
dr-ceuracle-royal-vita-propolis-33-cream,Dr.Ceuracle,Moisturisers,23.49,4.09,Normal,N,
dr-ceuracle-cica-regen-vegan-sun,Dr.Ceuracle,Sunscreen,19.95,4.8,Normal,N,
dr-ceuracle-pro-balance-biotics-toner,Dr.Ceuracle,Toner,23.46,5.0,Normal,N,
dr-ceuracle-tea-tree-purifine-cleansing-foam,Dr.Ceuracle,Cleanser,22.49,4.45,Normal,N,
dr-ceuracle-jeju-matcha-clay-pack,Dr.Ceuracle,Face Mask,21.5,4.82,Normal,N,
dr-ceuracle-5-alpha-control-melting-cleansing-gel,Dr.Ceuracle,Cleanser,18.95,5.0,Normal,N,
dr-ceuracle-pro-balance-creamy-cleansing-foam,Dr.Ceuracle,Cleanser,14.2,4.45,Normal,N,
dr-ceuracle-hyal-reyouth-lifting-mask-set,Dr.Ceuracle,Face Mask,1.95,4.46,Normal,N,
dr-ceuracle-5-alpha-control-clearing-cream,Dr.Ceuracle,Moisturisers,29.95,4.57,Normal,N,
dr-ceuracle-5-alpha-control-clearing-serum-in-emulsion,Dr.Ceuracle,Serum,21.21,4.56,Normal,N,
dr-ceuracle-pro-balance-pure-cleansing-oil,Dr.Ceuracle,Cleanser,22.15,4.63,Normal,N,
dr-ceuracle-tea-tree-purifine-80-cream,Dr.Ceuracle,Moisturisers,24.44,4.91,Normal,N,
dr-ceuracle-pro-balance-biotics-clear-up-sun,Dr.Ceuracle,Sunscreen,18.56,3.42,Normal,N,
dr-ceuracle-royal-vita-propolis-33-ampoule,Dr.Ceuracle,Serum,28.36,4.8,Normal,N,
dr-ceuracle-tea-tree-purifine-95-essence,Dr.Ceuracle,Essence,26.95,4.63,Normal,N,
dr-ceuracle-cica-regen-95-soothing-gel,Dr.Ceuracle,Moisturisers,17.58,4.57,Normal,N,
dr-ceuracle-vegan-kombucha-tea-essence,Dr.Ceuracle,Essence,30.32,4.81,"Dry, Sensitive",D,S
milky-piggy-egf-elastic-retinol-cream,Elizavecca,Moisturisers,17.58,4.66,Normal,N,
elizavecca-milky-piggy-carbonated-bubble-clay-mask,Elizavecca,Face Mask,16.15,4.93,Normal,N,
elizavecca-milky-piggy-black-head-3-step-solution,Elizavecca,Face Mask,3.95,4.33,Normal,N,
elizavecca-green-piggy-collagen-jella-pack,Elizavecca,Face Mask,16.6,4.78,Normal,N,
elizavecca-hell-pore-control-hyaluronic-acid-97,Elizavecca,Serum,19.95,4.46,Normal,N,
elizavecca-hell-pore-clean-up-mask,Elizavecca,Face Mask,15.35,4.0,Normal,N,
elizavecca-face-fruit-hell-pore-toner,Elizavecca,Toner,14.95,4.2,Normal,N,
elizavecca-witch-piggy-hell-pore-bifida-pure-ample,Elizavecca,Serum,19.95,4.4,Normal,N,
elizavecca-hell-pore-vitamin-peeling-gel,Elizavecca,Exfoliators,13.44,3.0,Normal,N,
elizavecca-gold-cf-nest-collagen-jella-pack-mask,Elizavecca,Face Mask,17.58,5.0,Normal,N,
elizavecca-centella-asiatica-pure,Elizavecca,Toner,18.95,4.33,Normal,N,
elizavecca-elastic-pore-cleansing-foam,Elizavecca,Cleanser,11.95,4.0,Normal,N,
elizavecca-fruits-deep-power-ringer,Elizavecca,Face Mask,2.51,0.0,Normal,N,
elizavecca-cf-nest-b-jo-97-omnipotent-serum,Elizavecca,Serum,16.6,0.0,Normal,N,
elizavecca-hell-pore-gold-essence,Elizavecca,Serum,17.55,5.0,Normal,N,
elizavecca-milky-piggy-moisture-sparkle-cream,Elizavecca,Moisturisers,23.95,1.0,Normal,N,
elizavecca-aqua-deep-power-ringer,Elizavecca,Face Mask,2.51,4.67,Normal,N,
elizavecca-red-ginseng-deep-power-ringer,Elizavecca,Face Mask,2.51,5.0,Normal,N,
elizavecca-hell-pore-galactomyces-premium-ample,Elizavecca,Serum,19.54,2.0,Normal,N,
etude-house-soonjung-2x-barrier-intensive-cream,Etude House,Moisturisers,15.25,4.65,Normal,N,
etude-house-0-2-therapy-air-mask,Etude House,Face Mask,1.95,4.77,Normal,N,
etude-house-soon-jung-whip-cleanser,Etude House,Cleanser,15.17,4.68,Sensitive,,S
etude-house-soon-jung-ph-5-5-relief-toner,Etude House,Toner,15.62,4.73,Sensitive,,S
etude-house-soon-jung-ph5-5-foam-cleanser,Etude House,Cleanser,14.95,4.67,Normal,N,
etude-house-sunprise-mild-airy-finish-spf50-pa,Etude House,Sunscreen,13.66,4.28,"Normal, Sensitive",N,S
etude-house-moistfull-collagen-deep-cream,Etude House,Moisturisers,20.95,4.81,Normal,N,
soon-jung-panthensoside-sheet-mask,Etude House,Face Mask,2.51,4.71,Normal,N,
etude-house-soon-jung-10-free-moist-emulsion,Etude House,Moisturisers,17.95,4.55,Normal,N,
etude-house-moistfull-collagen-cream,Etude House,Moisturisers,19.22,4.71,Normal,N,
etude-house-soonjung-10-panthensoside-cica-balm,Etude House,Moisturisers,20.95,4.73,Normal,N,
etude-house-soonjung-hydro-barrier-cream,Etude House,Moisturisers,24.95,4.84,"Sensitive, Dry, Normal","D, N",S
etude-house-sunprise-mild-watery-light,Etude House,Sunscreen,12.56,4.81,Normal,N,
etude-house-baking-powder-pore-cleansing-foam,Etude House,Cleanser,12.95,4.21,Normal,N,
etude-house-baking-powder-b-b-deep-cleansing-foam,Etude House,Cleanser,12.95,4.64,Normal,N,
etude-house-moistfull-collagen-toner,Etude House,Toner,21.95,4.89,Normal,N,
etude-house-moistfull-collagen-emulsion,Etude House,Moisturisers,19.95,3.5,Normal,N,
etude-house-wonder-pore-freshner,Etude House,Toner,13.95,4.14,Normal,N,
etude-house-soon-jung-directors-moisture-sun-cream-spf50-pa,Etude House,Sunscreen,23.95,4.25,Normal,N,
etude-moistfull-collagen-sheet-mask,Etude House,Face Mask,2.51,0.0,Normal,N,
farmstay-real-bamboo-essence-mask,Farm Stay,Face Mask,1.95,4.8,Normal,N,
farmstay-real-avocado-essence-mask,Farm Stay,Face Mask,1.95,4.57,Normal,N,
farm-stay-real-coconut-essence-mask,Farm Stay,Face Mask,1.95,4.65,Normal,N,
farmstay-real-peach-essence-mask,Farm Stay,Face Mask,1.95,4.5,Normal,N,
farm-stay-real-shea-butter-essence-mask,Farm Stay,Face Mask,1.95,4.55,Normal,N,
farm-stay-real-tomato-essence-mask,Farm Stay,Face Mask,1.95,4.55,Normal,N,
farmstay-real-calamansi-essence-mask,Farm Stay,Face Mask,1.95,5.0,Normal,N,
farmstay-real-mango-essence-mask,Farm Stay,Face Mask,1.95,4.9,Normal,N,
farm-stay-citrus-yuja-vitalizing-mask-sheet,Farm Stay,Face Mask,1.95,0.0,"Pigmentation, Dry, Normal","D, N",P
farm-stay-collagen-water-full-moist-cream-ampoule,Farm Stay,Serum,15.8,0.0,"Dry, Normal","D, N",
farm-stay-tea-tree-biome-calming-toner-pad,Farm Stay,Toner,19.95,0.0,Normal,N,
farm-stay-tea-tree-biome-calming-ampoule,Farm Stay,Serum,17.4,0.0,"Sensitive, Dry, Normal","D, N",S
farm-stay-tea-tree-biome-calming-water-cream,Farm Stay,Moisturisers,18.8,0.0,Normal,N,
farm-stay-calendula-relief-cleansing-foam,Farm Stay,Cleanser,20.95,0.0,Dry,D,
farm-stay-calendula-relief-emulsion,Farm Stay,Moisturisers,18.1,0.0,"Sensitive, Normal",N,S
farm-stay-citrus-yuja-vitalizing-emulsion,Farm Stay,Moisturisers,11.95,0.0,"Dry, Sensitive, Dry","D, D",S
farm-stay-citrus-yuja-vitalizing-ampoule,Farm Stay,Serum,16.8,0.0,Normal,N,
farm-stay-tea-tree-biome-calming-toner,Farm Stay,Toner,17.4,0.0,Normal,N,
farm-stay-calendula-relief-toner,Farm Stay,Toner,17.5,0.0,Normal,N,
farm-stay-cica-farm-blemish-clear-ampoule,Farm Stay,Serum,19.8,0.0,"Acne, Normal",N,A
farm-stay-citrus-yuja-vitalizing-toner,Farm Stay,Toner,11.95,0.0,Normal,N,
farm-stay-citrus-yuja-vitalizing-cream,Farm Stay,Moisturisers,14.3,0.0,"Dry, Normal","D, N",
farm-stay-black-pearl-all-in-one-ampoule,Farm Stay,Serum,17.95,0.0,"Pigmentation, Dry, Normal","D, N",P
farm-stay-pomegranate-all-in-one-ampoule,Farm Stay,Serum,17.95,0.0,Normal,N,
farm-stay-aloe-all-in-one-ampoule,Farm Stay,Serum,17.95,0.0,"Sensitive, Normal",N,S
farm-stay-collagen-hyaluronic-acid-all-in-one-ampoule,Farm Stay,Serum,17.95,0.0,"Sensitive, Normal",N,S
farm-stay-collagen-water-full-moist-serum,Farm Stay,Serum,15.95,0.0,"Sensitive, Normal",N,S
farm-stay-collagen-super-aqua-cream,Farm Stay,Moisturisers,15.95,0.0,"Dry, Normal","D, N",
farm-stay-baking-powder-collagen-pore-scrub,Farm Stay,Cleanser,14.95,0.0,"Pore care, Combination, Oily","C, O",Pore
farm-stay-calendula-relief-cream,Farm Stay,Moisturisers,18.1,0.0,Normal,N,
farm-stay-citrus-yuja-vitalizing-serum,Farm Stay,Serum,11.95,0.0,Normal,N,
farm-stay-collagen-water-full-moist-cream,Farm Stay,Moisturisers,15.8,0.0,Normal,N,
farm-stay-calendula-relief-serum,Farm Stay,Serum,19.8,0.0,"Sensitive, Normal",N,S
farm-stay-cica-farm-recovery-ampoule,Farm Stay,Serum,16.8,0.0,"Sensitive, Normal",N,S
farm-stay-tea-tree-biome-calming-mask,Farm Stay,Face Mask,23.95,0.0,"Acne, Normal",N,A
g9skin-self-aesthetic-poreclean-bubble-mask,G9SKIN,Face Mask,2.51,5.0,Normal,N,
g9skin-white-in-whipping-cream,G9SKIN,Moisturisers,18.56,3.44,Normal,N,
g9skin-white-in-milk-sun-plus-spf50-pa,G9SKIN,Sunscreen,12.68,4.54,Normal,N,
g9-skin-grapefruit-vita-peeling-gel,G9SKIN,Exfoliators,15.95,4.92,Normal,N,
g9skin-white-in-moisture-cream,G9SKIN,Moisturisers,19.95,4.57,Normal,N,
g9skin-white-in-milk-capsule-serum,G9SKIN,Serum,22.95,4.25,Normal,N,
g9skin-color-clay-carbonated-bubble-pack,G9SKIN,Face Mask,18.95,4.0,Normal,N,
g9skin-im-pine-pore-tension-ampoule,G9SKIN,Serum,21.95,5.0,Normal,N,
g9skin-im-pine-pore-solution-pad,G9SKIN,Toner,24.95,5.0,Normal,N,
g9skin-ac-solution-acne-foam-cleanser,G9SKIN,Cleanser,18.56,5.0,Normal,N,
g9skin-ac-solution-cream,G9SKIN,Moisturisers,26.4,0.0,Normal,N,
g9skin-ac-solution-serum,G9SKIN,Serum,28.36,0.0,Normal,N,
goodal-green-tangrine-vita-c-dark-spot-serum,Goodal,Serum,26.95,4.59,Normal,N,
goodal-green-tangerine-vitamin-c-cream,Goodal,Moisturisers,24.95,4.52,Normal,N,
goodal-vegan-rice-milk-moisturizing-toner,Goodal,Toner,25.95,4.75,Normal,N,
goodal-vegan-rice-milk-moisturizing-cream,Goodal,Moisturisers,21.5,4.25,Normal,N,
goodal-green-tangerine-vitamin-c-serum-mask,Goodal,Face Mask,2.95,5.0,Normal,N,
goodal-houttuynia-cordata-calming-cleansing-foam,Goodal,Cleanser,14.45,4.33,Normal,N,
goodal-houttuynia-cordata-calming-moisture-sun-cream,Goodal,Sunscreen,19.95,3.6,Normal,N,
