product,vendor,category,price,ranking,skin_type,skin_type_code,skin_problem_code
anua-green-lemon-vita-c-blemish-serum,Anua,Serum,44.45,4.4,"Anti-aging, Normal",N,Age
anua-heartleaf-pore-clay-pack,Anua,Exfoliators,22.49,3.6,"Sensitive, Dry, Normal","D, N",S
anua-airy-sun-cream-spf50-pa,Anua,Sunscreen,17.95,3.0,"Acne, Sensitive, Normal",N,"A, S"
anua-heartleaf-low-ph-deep-cleansing-water,Anua,Cleanser,19.95,2.0,"Acne, Sensitive, Normal",N,"A, S"
anua-watery-tone-up-cream-spf30,Anua,Sunscreen,17.95,3.5,"Sensitive, Dry, Normal","D, N",S
apieu-milk-one-pack-greentea-milk,Apieu,Face Mask,1.95,4.85,Normal,N,
apieu-milk-one-pack-banana-milk,Apieu,Face Mask,1.95,4.96,Normal,N,
apieu-icing-sweet-bar-sheet-mask,Apieu,Face Mask,1.95,4.48,Normal,N,
apieu-milk-one-pack-coffee-milk,Apieu,Face Mask,1.95,4.59,Normal,N,
apieu-madecassoside-tetrasome-cica-cream,Apieu,Moisturisers,15.95,4.7,Normal,N,
apieu-pure-block-natural-daily-sun-cream,Apieu,Sunscreen,11.66,3.61,Normal,N,
apieu-glycolic-acid-cream,Apieu,Moisturisers,12.45,3.46,Normal,N,
apieu-pure-block-aqua-sun-gel-spf50-pa,Apieu,Sunscreen,11.66,4.3,Normal,N,
apieu-hamamelis-cream,Apieu,Moisturisers,12.45,4.59,Normal,N,
apieu-goblin-blackhead-3-step-nose-pack,Apieu,Face Mask,2.95,4.73,"Pore care, Normal",N,Pore
apieu-madecassoside-sleeping-mask,Apieu,Moisturisers,15.95,4.6,Normal,N,
apieu-madecassoside-tetrasome-cica-ampoule,Apieu,Serum,18.95,4.7,"Sensitive, Dry, Normal","D, N",S
apieu-kalamansi-cream,Apieu,Moisturisers,11.95,4.2,Normal,N,
apieu-madecassoside-fluid,Apieu,Essence,13.95,4.67,Normal,N,
apieu-deep-clean-foam-cleanser,Apieu,Cleanser,7.95,0.0,Dry,D,
