product,vendor,category,price,ranking,skin_type
anua-7-rice-ceramide-hydrating-barrier-serum,Anua,Serum,24.94,4.68,"Sensitive skin, fungal acne safe, all skin types"
anua-heartleaf-pore-control-cleansing-oil-mild,Anua,Cleanser,19.45,4.38,All skin types
anua-heartleaf-70-soothing-cream,Anua,Moisturisers,31.3,4.21,All skin types
anua-birch-70-moisture-boosting-serum,Anua,Serum,19.95,4.72,"Sensitive skin, fungal acne safe, all skin types"
anua-birch-moisture-boosting-pad,Anua,Exfoliators,21.95,4.32,"Dehydrated, dry skin types"
anua-heartleaf-soothing-trial-kit,Anua,Ampoules,24.44,4.89,"Sensitive skin, all skin types"
anua-nano-retinol-0-3-niacin-renewing-serum,Anua,Serum,32.95,4.5,"Hyperpigmentation, Dry skin, all skin types"
anua-peach-77-niacin-conditioning-milk,Anua,Moisturisers,26.95,5.0,"Dry, sensitive skin, all skin types"
anua-heartleaf-lha-moisture-peeling-gel,Anua,Exfoliators,15.95,4.5,"Pore care, sensitive skin, all skin types"
anua-birch-70-moisture-boosting-cream,Anua,Moisturisers,25.98,4.2,"Sensitive skin, dry skin type"
anua-8-hyaluronic-acid-hydrating-gentle-foaming-cleanser,Anua,Cleanser,14.95,4.67,"Dry skin, all skin types"
anua-birch-70-moisture-boosting-toner,Anua,Toner,21.95,5.0,"Dry skin, fungal acne safe, all skin types"
anua-green-lemon-vita-c-blemish-serum,Anua,Serum,44.45,4.4,"Mature skin, all skin types"
anua-heartleaf-pore-clay-pack,Anua,Exfoliators,22.49,3.6,"Sensitive skin, dry skin, all skin types"
anua-airy-sun-cream-spf50-pa,Anua,Sunscreen,17.95,3.0,"Fungal acne safe, sensitive skin, all skin types"
anua-heartleaf-low-ph-deep-cleansing-water,Anua,Cleanser,19.95,2.0,"Fungal acne safe, sensitive skin, all skin types"
anua-watery-tone-up-cream-spf30,Anua,Sunscreen,17.95,3.5,"Sensitive, dry skin, all skin types"
apieu-honey-milk-lip-oil,Apieu,Lip Care,6.95,4.58,All skin types
apieu-juicy-pang-water-blusher,Apieu,Make-up,9.95,4.56,All skin types
apieu-raspberry-vinegar-hair-treatment,Apieu,Hair Care,14.95,4.69,All skin types
apieu-milk-one-pack-greentea-milk,Apieu,Face Mask,1.95,4.85,﻿All skin types
apieu-milk-one-pack-banana-milk,Apieu,Face Mask,1.95,4.96,All skin types
apieu-icing-sweet-bar-sheet-mask,Apieu,Face Mask,1.95,4.48,All skin types
apieu-milk-one-pack-coffee-milk,Apieu,Face Mask,1.95,4.59,All skin types
apieu-madecassoside-tetrasome-cica-cream,Apieu,Moisturisers,15.95,4.7,All skin types
apieu-honey-milk-lip-balm,Apieu,Lip Care,7.95,4.74,All skin types
apieu-honey-milk-lip-scrub,Apieu,Lip Care,6.2,4.33,All skin types
apieu-pure-block-natural-daily-sun-cream,Apieu,Sunscreen,11.66,3.61,All skin types
apieu-glycolic-acid-cream,Apieu,Moisturisers,12.45,3.46,All skin types
apieu-mint-scalp-hair-vinegar,Apieu,Hair Care,14.95,4.56,All hair types
apieu-pure-block-aqua-sun-gel-spf50-pa,Apieu,Sunscreen,11.66,4.3,All skin types
apieu-juicy-pang-tint,Apieu,Lip Care,11.95,4.1,All skin types
apieu-hamamelis-cream,Apieu,Moisturisers,12.45,4.59,All skin types
apieu-goblin-blackhead-3-step-nose-pack,Apieu,Face Mask,2.95,4.73,"Pore care, all skin types"
apieu-madecassoside-sleeping-mask,Apieu,Moisturisers,15.95,4.6,All skin types
apieu-madecassoside-tetrasome-cica-ampoule,Apieu,Serum,18.95,4.7,"Sensitive, dry skin, all skin types"
apieu-kalamansi-cream,Apieu,Moisturisers,11.95,4.2,All skin types
apieu-madecassoside-fluid,Apieu,Essence,13.95,4.67,All skin types
apieu-deep-clean-foam-cleanser,Apieu,Cleanser,7.95,0.0,Normal to dry skin types
aromatica-rosemary-root-enhancer,Aromatica,Hair Care,15.95,4.54,All skin types
